"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"45",5,"DK Metcalf",SEA,"WR19","11","4 out of 5 stars","+9"
"46",5,"Jaylen Waddle",MIA,"WR20","11","2 out of 5 stars","+6"
"47",5,"George Kittle",SF,"TE4","9","4 out of 5 stars","-8"
"48",5,"Diontae Johnson",PIT,"WR21","9","4 out of 5 stars","+1"
"49",5,"Brandin Cooks",HOU,"WR22","6","3 out of 5 stars","+11"
"50",5,"AJ Dillon",GB,"RB22","14","3 out of 5 stars","0"
"51",5,"Allen Robinson II",LAR,"WR23","7","2 out of 5 stars","+7"
"52",5,"Patrick Mahomes II",KC,"QB3","8","2 out of 5 stars","-23"
"53",5,"Lamar Jackson",BAL,"QB4","10","2 out of 5 stars","-10"
"54",5,"Darren Waller",LV,"TE5","6","2 out of 5 stars","-6"
"55",5,"Marquise Brown",ARI,"WR24","13","2 out of 5 stars","+8"
"56",6,"J.K. Dobbins",BAL,"RB23","10","4 out of 5 stars","-5"
"57",6,"Jerry Jeudy",DEN,"WR25","9","4 out of 5 stars","+10"
"58",6,"Josh Jacobs",LV,"RB24","6","2 out of 5 stars","-11"
"59",6,"Darnell Mooney",CHI,"WR26","14","3 out of 5 stars","+9"
"60",6,"Dalton Schultz",DAL,"TE6","9","3 out of 5 stars","+1"
"61",6,"Jalen Hurts",PHI,"QB5","7","4 out of 5 stars","-6"
"62",6,"Kyler Murray",ARI,"QB6","13","2 out of 5 stars","-9"
"63",6,"Rashod Bateman",BAL,"WR27","10","3 out of 5 stars","+20"
"64",6,"Damien Harris",NE,"RB25","10","4 out of 5 stars","+18"
"65",6,"Antonio Gibson",WAS,"RB26","14","4 out of 5 stars","-9"
"66",6,"Chris Godwin",TB,"WR28","11","4 out of 5 stars","-2"
"67",6,"Elijah Moore",NYJ,"WR29","10","1 out of 5 stars","+23"
"68",6,"Dameon Pierce",HOU,"RB27","6","3 out of 5 stars","-3"
"69",6,"Amari Cooper",CLE,"WR30","9","4 out of 5 stars","+5"
"70",6,"Michael Thomas",NO,"WR31","14","4 out of 5 stars","-1"
"71",6,"Amon-Ra St. Brown",DET,"WR32","6","3 out of 5 stars","-12"
"72",6,"JuJu Smith-Schuster",KC,"WR33","8","2 out of 5 stars","-1"
"73",6,"Dallas Goedert",PHI,"TE7","7","2 out of 5 stars","+8"
"74",6,"Rashaad Penny",SEA,"RB28","11","2 out of 5 stars","+5"
"75",6,"Adam Thielen",MIN,"WR34","7","2 out of 5 stars","-3"
"76",6,"Joe Burrow",CIN,"QB7","10","2 out of 5 stars","-19"
"77",7,"Chase Edmonds",MIA,"RB29","11","4 out of 5 stars","-7"
"78",7,"Clyde Edwards-Helaire",KC,"RB30","8","3 out of 5 stars","-12"
"79",7,"Brandon Aiyuk",SF,"WR35","9","3 out of 5 stars","+18"
"80",7,"DeVonta Smith",PHI,"WR36","7","4 out of 5 stars","+12"
"81",7,"Miles Sanders",PHI,"RB31","7","3 out of 5 stars","+3"
"82",7,"T.J. Hockenson",DET,"TE8","6","4 out of 5 stars","-9"
"83",7,"Allen Lazard",GB,"WR37","14","3 out of 5 stars","+8"
"84",7,"Rhamondre Stevenson",NE,"RB32","10","4 out of 5 stars","+2"
"85",7,"Tom Brady",TB,"QB8","11","3 out of 5 stars","-10"
"86",7,"Russell Wilson",DEN,"QB9","9","4 out of 5 stars","-10"
"87",7,"Tyler Lockett",SEA,"WR38","11","4 out of 5 stars","+20"
"88",7,"Dawson Knox",BUF,"TE9","7","3 out of 5 stars","+7"
"89",7,"Devin Singletary",BUF,"RB33","7","4 out of 5 stars","-11"
"90",7,"Drake London",ATL,"WR39","14","4 out of 5 stars","+6"
"91",7,"Tony Pollard",DAL,"RB34","9","4 out of 5 stars","-14"
"92",7,"Dak Prescott",DAL,"QB10","9","3 out of 5 stars","-5"
"93",7,"Kareem Hunt",CLE,"RB35","9","3 out of 5 stars","-8"
"94",7,"Christian Kirk",JAC,"WR40","11","4 out of 5 stars","+6"
"95",7,"Hunter Renfrow",LV,"WR41","6","2 out of 5 stars","-2"
"96",7,"Trey Lance",SF,"QB11","9","3 out of 5 stars","+8"
"97",7,"DeAndre Hopkins",ARI,"WR42","13","2 out of 5 stars","-9"
"98",7,"Melvin Gordon III",DEN,"RB36","9","3 out of 5 stars","0"
"99",7,"Cordarrelle Patterson",ATL,"RB37","14","1 out of 5 stars","-19"
"100",7,"Zach Ertz",ARI,"TE10","13","3 out of 5 stars","-1"
